id,first_name,second_name,team,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,selected_by_percent
452,Amad,Diallo,14,Milieu,6.4,7,176,0,1,0,2.0
454,Antony,dos Santos,14,Milieu,5.9,0,0,0,0,0,0.1
455,Mason,Mount,14,Milieu,6.0,6,177,0,0,1,0.3
457,Carlos Henrique,Casimiro,14,Milieu,5.5,7,187,0,1,0,0.2
458,Kobbie,Mainoo,14,Milieu,4.9,1,45,0,0,0,0.5
459,Manuel,Ugarte Ribeiro,14,Milieu,4.9,2,46,0,0,0,0.1
460,Toby,Collyer,14,Milieu,4.5,0,0,0,0,0,0.1
461,Jayce,Fitzgerald,14,Milieu,4.5,0,0,0,0,0,0.0
462,Jack,Fletcher,14,Milieu,4.4,0,0,0,0,0,0.0
463,Sékou,Koné,14,Milieu,4.5,0,0,0,0,0,0.1
464,Jack,Moorhouse,14,Milieu,4.5,0,0,0,0,0,0.0
465,Rasmus,Højlund,14,Attaquant,6.3,0,0,0,0,0,0.4
466,Joshua,Zirkzee,14,Attaquant,5.9,1,59,0,0,0,0.4
467,Chido,Obi,14,Attaquant,4.4,0,0,0,0,0,1.6
468,Ethan,Wheatley,14,Attaquant,4.5,0,0,0,0,0,0.1
681,Benjamin,Sesko,14,Attaquant,7.4,3,80,0,0,0,6.1
733,Senne,Lammens,14,Gardien,5.0,0,0,0,0,0,0.1
52,Jacob,Ramsey,15,Milieu,5.4,2,59,0,0,0,0.4
135,Yoane,Wissa,15,Attaquant,7.5,0,0,0,0,0,1.3
469,Nick,Pope,15,Gardien,5.0,18,270,0,1,2,5.5
471,Mark,Gillespie,15,Gardien,4.0,0,0,0,0,0,0.1
472,Odysseas,Vlachodimos,15,Gardien,4.0,0,0,0,0,0,0.0
473,Lewis,Hall,15,Défenseur,5.4,2,43,0,0,0,1.6
474,Fabian,Schär,15,Défenseur,5.5,15,260,0,0,2,2.8
475,Sven,Botman,15,Défenseur,4.9,8,67,0,0,1,0.5
476,Dan,Burn,15,Défenseur,5.0,17,270,0,0,2,5.4
477,Tino,Livramento,15,Défenseur,5.1,19,270,0,1,2,8.4
478,Kieran,Trippier,15,Défenseur,5.0,13,226,0,0,2,2.7
479,Emil,Krafth,15,Défenseur,4.5,0,0,0,0,0,0.0
480,Jamaal,Lascelles,15,Défenseur,4.4,0,0,0,0,0,0.1
481,Alex,Murphy,15,Défenseur,4.0,0,0,0,0,0,0.7
482,Harrison,Ashby,15,Défenseur,4.0,0,0,0,0,0,0.1
483,Miodrag,Pivaš,15,Défenseur,4.0,0,0,0,0,0,0.1
484,Matt,Targett,15,Défenseur,4.0,0,0,0,0,0,0.4
485,Anthony,Gordon,15,Milieu,7.4,1,137,0,0,1,1.2
486,Anthony,Elanga,15,Milieu,7.0,6,195,0,0,1,8.6
487,Harvey,Barnes,15,Milieu,6.5,6,186,0,0,1,1.1
488,Bruno,Guimarães Rodriguez Moura,15,Milieu,6.5,12,270,1,0,2,2.5
489,Jacob,Murphy,15,Milieu,6.3,4,73,0,0,1,1.3
490,Joelinton Cássio,Apolinário de Lira,15,Milieu,5.9,4,157,0,0,1,0.3
491,Sandro,Tonali,15,Milieu,5.4,8,245,0,0,2,1.3
492,Antoñito,Cordero Campillo,15,Milieu,4.9,0,0,0,0,0,0.0
494,Joe,Willock,15,Milieu,5.0,0,0,0,0,0,0.0
495,Isaac,Hayden,15,Milieu,4.5,0,0,0,0,0,0.0
496,Garang,Kuol,15,Milieu,4.5,0,0,0,0,0,0.1
497,Lewis,Miley,15,Milieu,4.5,3,76,0,0,0,2.1
498,Joe,White,15,Milieu,4.5,0,0,0,0,0,0.0
500,William,Osula,15,Attaquant,5.5,8,105,1,0,1,0.5
501,Sean,Neave,15,Attaquant,4.4,0,0,0,0,0,0.2
674,Aaron,Ramsdale,15,Gardien,4.9,0,0,0,0,0,0.7
684,Malick,Thiaw,15,Défenseur,5.0,1,9,0,0,0,0.2
689,Seung-Soo,Park,15,Milieu,4.5,0,0,0,0,0,0.2
714,Nick,Woltemade,15,Attaquant,7.0,0,0,0,0,0,0.2
12,Oleksandr,Zinchenko,16,Défenseur,4.9,0,0,0,0,0,0.3
426,James,McAtee,16,Milieu,5.5,2,50,0,0,0,0.2
502,Matz,Sels,16,Gardien,5.0,6,270,0,0,0,16.8
503,Carlos Miguel,dos Santos Pereira,16,Gardien,4.0,0,0,0,0,0,0.1
504,Matt,Turner,16,Gardien,4.0,0,0,0,0,0,0.1
505,Nikola,Milenković,16,Défenseur,5.5,5,270,0,0,0,8.4
506,Murillo,Costa dos Santos,16,Défenseur,5.5,4,270,0,0,0,5.6
507,Ola,Aina,16,Défenseur,5.0,6,270,0,0,0,13.0
508,Neco,Williams,16,Défenseur,5.0,4,270,0,0,0,8.3
509,David,Mota Veiga Teixeira do Carmo,16,Défenseur,4.5,0,0,0,0,0,0.0
510,Jair,Paula da Cunha Filho,16,Défenseur,4.4,0,0,0,0,0,0.1
511,Felipe,Rodrigues da Silva,16,Défenseur,4.4,0,0,0,0,0,0.1
512,Omar,Richards,16,Défenseur,4.5,0,0,0,0,0,0.0
513,Zach,Abbott,16,Défenseur,4.0,0,0,0,0,0,0.2
514,Willy,Boly,16,Défenseur,4.0,0,0,0,0,0,0.4
515,Morgan,Gibbs-White,16,Milieu,7.5,9,254,0,1,0,5.7
516,Callum,Hudson-Odoi,16,Milieu,6.0,14,249,1,0,0,1.6
517,Elliot,Anderson,16,Milieu,5.5,10,270,0,1,0,5.6
518,João Pedro,Ferreira da Silva,16,Milieu,5.4,1,11,0,0,0,0.1
519,Nicolás,Domínguez,16,Milieu,5.0,0,0,0,0,0,0.0
520,Lewis,O'Brien,16,Milieu,5.0,0,0,0,0,0,0.0
521,Ibrahim,Sangaré,16,Milieu,5.0,8,265,0,0,0,0.1
522,Ryan,Yates,16,Milieu,4.9,2,8,0,0,0,0.1
523,Eric,da Silva Moreira,16,Milieu,4.5,0,0,0,0,0,0.1
524,Marko,Stamenić,16,Milieu,4.5,0,0,0,0,0,0.0
525,Chris,Wood,16,Attaquant,7.7,17,237,2,0,1,24.9
526,Igor Jesus,Maciel da Cruz,16,Attaquant,5.9,3,30,0,0,0,0.5
527,Taiwo,Awoniyi,16,Attaquant,5.4,0,0,0,0,0,0.5
669,Dan,Ndoye,16,Milieu,6.1,17,205,1,1,0,3.4
675,Angus,Gunn,16,Gardien,4.0,0,0,0,0,0,1.7
693,Omari,Hutchinson,16,Milieu,5.5,2,9,0,0,0,0.0
696,Arnaud,Kalimuendo,16,Attaquant,6.0,2,20,0,0,0,0.1
699,Douglas Luiz,Soares de Paulo,16,Milieu,5.0,0,0,0,0,0,0.1
715,John Victor,Maciel Furtado,16,Gardien,4.0,0,0,0,0,0,0.1
716,Nicolò,Savona,16,Défenseur,4.5,0,0,0,0,0,0.0
729,Luis Eduardo,Soares da Silva,16,Défenseur,4.5,0,0,0,0,0,0.0
734,Dilane,Bakwa,16,Milieu,6.0,0,0,0,0,0,0.0
528,Anthony,Patterson,17,Gardien,4.4,0,0,0,0,0,0.3
529,Simon,Moore,17,Gardien,4.0,0,0,0,0,0,0.5
530,Blondy,Nna Noukeu,17,Gardien,4.0,0,0,0,0,0,0.1
531,Daniel,Ballard,17,Défenseur,4.6,18,98,1,0,1,3.8
532,Trai,Hume,17,Défenseur,4.5,9,270,0,0,1,0.3
533,Aji,Alese,17,Défenseur,4.0,0,0,0,0,0,0.0
534,Joe,Anderson,17,Défenseur,4.0,0,0,0,0,0,0.4
535,Dennis,Cirkin,17,Défenseur,4.0,0,0,0,0,0,0.0
536,Leo Fuhr,Hjelde,17,Défenseur,4.0,0,0,0,0,0,0.0
537,Niall,Huggins,17,Défenseur,4.0,0,0,0,0,0,0.2
538,Zak,Johnson,17,Défenseur,4.0,0,0,0,0,0,0.2
539,Luke,O'Nien,17,Défenseur,4.0,0,0,0,0,0,0.0
540,Timothée,Pembélé,17,Défenseur,4.0,0,0,0,0,0,0.2
541,Reinildo,Mandava,17,Défenseur,4.0,10,270,0,0,1,8.3
542,Jenson,Seelt,17,Défenseur,4.0,2,133,0,0,0,0.2
543,Simon,Adingra,17,Milieu,5.5,8,162,0,1,1,1.4
544,Habib,Diarra,17,Milieu,5.5,9,255,0,1,1,0.1
545,Patrick,Roberts,17,Milieu,5.4,1,27,0,0,0,0.0
546,Milan,Aleksić,17,Milieu,4.9,0,0,0,0,0,0.0
547,Enzo,Le Fée,17,Milieu,4.9,13,131,1,0,0,0.4
548,Romaine,Mundle,17,Milieu,4.9,0,0,0,0,0,0.0
549,Dan,Neil,17,Milieu,4.9,0,0,0,0,0,0.0
550,Ian,Poveda-Ocampo,17,Milieu,4.9,0,0,0,0,0,0.0
551,Chris,Rigg,17,Milieu,4.9,1,1,0,0,0,0.0
552,Noah,Sadiki,17,Milieu,5.0,7,270,0,0,1,0.0
553,Chemsdine,Talbi,17,Milieu,5.0,11,216,0,1,2,0.3
554,Abdoullah,Ba,17,Milieu,4.4,0,0,0,0,0,0.2
555,Alan,Browne,17,Milieu,4.5,0,0,0,0,0,0.1
556,Pierre,Ekwah Elimby,17,Milieu,4.5,0,0,0,0,0,0.0
557,Harrison,Jones,17,Milieu,4.5,0,0,0,0,0,0.1
558,Jay,Matete,17,Milieu,4.4,0,0,0,0,0,0.2
559,Nectarios,Triantis,17,Milieu,4.4,0,0,0,0,0,0.1
560,Wilson,Isidor,17,Attaquant,5.5,14,66,2,0,0,0.5
561,Eliezer,Mayenda Dossou,17,Attaquant,5.5,12,201,1,0,2,1.8
562,Ahmed,Abdullahi,17,Attaquant,4.4,0,0,0,0,0,0.4
563,Luís Hemir,Silva Semedo,17,Attaquant,4.4,0,0,0,0,0,0.2
564,Nazarii,Rusyn,17,Attaquant,4.4,0,0,0,0,0,0.2
668,Granit,Xhaka,17,Milieu,5.0,11,270,0,1,1,2.7
670,Robin,Roefs,17,Gardien,4.5,17,270,0,0,1,1.3
678,Arthur,Masuaku,17,Défenseur,4.0,0,0,0,0,0,0.7
683,Omar,Alderete,17,Défenseur,4.0,9,217,0,1,0,1.3
694,Nordi,Mukiele,17,Défenseur,4.0,4,90,0,0,0,0.4
724,Lutsharel,Geertruida,17,Défenseur,4.5,0,0,0,0,0,0.0
730,Brian,Brobbey,17,Attaquant,5.5,0,0,0,0,0,0.0
735,Bertrand,Traoré,17,Milieu,5.5,0,0,0,0,0,0.0
565,Guglielmo,Vicario,18,Gardien,5.0,21,270,0,0,2,8.5
566,Brandon,Austin,18,Gardien,4.0,0,0,0,0,0,0.3
567,Antonín,Kinský,18,Gardien,4.0,0,0,0,0,0,1.7
568,Pedro,Porro Sauceda,18,Défenseur,5.6,15,250,0,0,2,25.3
569,Cristian,Romero,18,Défenseur,5.0,15,270,0,0,2,5.4
570,Kevin,Danso,18,Défenseur,4.4,1,1,0,0,0,0.2
571,Ben,Davies,18,Défenseur,4.4,0,0,0,0,0,0.1
572,Radu,Drăgușin,18,Défenseur,4.5,0,0,0,0,0,0.0
573,Djed,Spence,18,Défenseur,4.5,13,270,0,0,2,2.3
574,Destiny,Udogie,18,Défenseur,4.4,1,19,0,0,0,0.5
575,Micky,van de Ven,18,Défenseur,4.6,13,270,0,0,2,28.7
576,Ashley,Phillips,18,Défenseur,4.0,0,0,0,0,0,0.0
577,Takai,Kōta,18,Défenseur,4.0,0,0,0,0,0,0.1
578,Luka,Vušković,18,Défenseur,3.9,0,0,0,0,0,0.8
579,Son,Heung-min,18,Milieu,8.5,0,0,0,0,0,0.2
580,Brennan,Johnson,18,Milieu,7.1,18,209,2,0,2,10.1
581,James,Maddison,18,Milieu,6.9,0,0,0,0,0,0.2
582,Mohammed,Kudus,18,Milieu,6.6,15,259,0,2,2,32.6
583,Dejan,Kulusevski,18,Milieu,6.4,0,0,0,0,0,0.0
584,Mathys,Tel,18,Milieu,6.3,2,19,0,0,0,0.1
585,Rodrigo,Bentancur,18,Milieu,5.5,6,199,0,0,1,0.2
586,Lucas,Bergvall,18,Milieu,5.4,5,119,0,0,1,0.1
587,Yves,Bissouma,18,Milieu,5.3,0,0,0,0,0,0.1
588,Wilson,Odobert,18,Milieu,5.4,3,58,0,0,0,0.0
589,Manor,Solomon,18,Milieu,5.4,0,0,0,0,0,0.0
590,Bryan,Gil Salvatierra,18,Milieu,4.9,0,0,0,0,0,0.0
591,Archie,Gray,18,Milieu,4.9,3,70,0,0,1,0.1
592,Mikey,Moore,18,Milieu,5.0,0,0,0,0,0,0.0
593,Pape Matar,Sarr,18,Milieu,5.0,11,255,0,1,2,2.6
594,Yang,Min-hyeok,18,Milieu,4.5,0,0,0,0,0,0.0
595,Callum,Olusesi,18,Milieu,4.4,0,0,0,0,0,0.2
596,Dominic,Solanke-Mitchell,18,Attaquant,7.3,2,31,0,0,0,2.2
597,Richarlison,de Andrade,18,Attaquant,6.7,19,238,2,1,2,13.8
598,Will,Lankshear,18,Attaquant,4.5,0,0,0,0,0,0.0
599,Dane,Scarlett,18,Attaquant,4.4,0,0,0,0,0,0.7
673,João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,18,Milieu,5.5,13,153,1,0,1,0.8
717,Xavi,Simons,18,Milieu,7.0,0,0,0,0,0,0.6
726,Randal,Kolo Muani,18,Attaquant,7.0,0,0,0,0,0,0.1
149,Igor Julio,dos Santos de Paulo,19,Défenseur,4.5,0,0,0,0,0,0.1
600,Alphonse,Areola,19,Gardien,4.4,0,0,0,0,0,3.0
601,Wes,Foderingham,19,Gardien,4.0,0,0,0,0,0,0.5
602,Krisztián,Hegyi,19,Gardien,4.0,0,0,0,0,0,0.3
603,El Hadji Malick,Diouf,19,Défenseur,4.5,14,270,0,2,1,5.3
604,Emerson,Palmieri dos Santos,19,Défenseur,4.4,0,0,0,0,0,0.1
605,Maximilian,Kilman,19,Défenseur,4.4,6,270,0,0,1,0.2
606,Konstantinos,Mavropanos,19,Défenseur,4.4,6,90,0,0,1,0.1
607,Nayef,Aguerd,19,Défenseur,4.4,3,180,0,0,0,0.1
608,Ollie,Scarles,19,Défenseur,4.4,0,0,0,0,0,0.0
609,Jean-Clair,Todibo,19,Défenseur,4.4,1,126,0,0,0,0.1
610,Aaron,Wan-Bissaka,19,Défenseur,4.4,1,180,0,0,0,15.3
611,Kaelan,Casey,19,Défenseur,4.0,0,0,0,0,0,0.1
612,Lucas,Tolentino Coelho de Lima,19,Milieu,5.9,21,270,2,0,1,2.2
613,Tomáš,Souček,19,Milieu,5.8,6,178,0,0,1,0.5
614,James,Ward-Prowse,19,Milieu,5.9,7,234,0,0,1,0.3
615,Crysencio,Summerville,19,Milieu,5.5,7,8,0,2,0,0.0
616,Edson,Álvarez Velázquez,19,Milieu,4.9,0,0,0,0,0,0.1
617,Maxwel,Cornet,19,Milieu,4.9,0,0,0,0,0,0.0
618,Guido,Rodríguez,19,Milieu,4.9,2,70,0,0,0,0.1
619,Luis Guilherme,Lira dos Santos,19,Milieu,4.9,0,0,0,0,0,0.0
620,George,Earthy,19,Milieu,4.5,0,0,0,0,0,0.1
621,Andy,Irving,19,Milieu,4.5,2,23,0,0,0,0.3
622,Lewis,Orford,19,Milieu,4.4,0,0,0,0,0,0.1
623,Freddie,Potts,19,Milieu,4.4,1,45,0,0,0,0.6
624,Jarrod,Bowen,19,Attaquant,7.8,13,270,1,0,1,7.5
625,Niclas,Füllkrug,19,Attaquant,5.8,5,198,0,0,1,1.7
626,Callum,Marshall,19,Attaquant,4.4,0,0,0,0,0,0.7
659,Kyle,Walker-Peters,19,Défenseur,4.4,7,110,0,0,1,0.3
671,Callum,Wilson,19,Attaquant,5.9,9,90,1,0,0,0.4
679,Mads,Hermansen,19,Gardien,4.5,8,270,0,0,1,0.3
708,Mateus Gonçalo,Espanha Fernandes,19,Milieu,5.5,3,81,0,0,1,0.0
718,Soungoutou,Magassa,19,Milieu,5.0,0,0,0,0,0,0.0
627,Sam,Johnstone,20,Gardien,4.5,0,0,0,0,0,0.1
628,José,Malheiro de Sá,20,Gardien,4.5,4,270,0,0,0,1.8
629,Daniel,Bentley,20,Gardien,4.0,0,0,0,0,0,0.7
631,Emmanuel,Agbadou,20,Défenseur,4.5,5,270,0,0,0,0.4
632,Matt,Doherty,20,Défenseur,4.5,0,180,0,0,0,0.2
633,Hugo,Bueno López,20,Défenseur,4.5,2,137,0,0,0,0.1
634,Yerson,Mosquera Valdelamar,20,Défenseur,4.4,0,0,0,0,0,0.1
635,Rodrigo,Martins Gomes,20,Défenseur,4.5,8,44,1,0,0,0.1
636,Santiago,Ignacio Bueno,20,Défenseur,4.5,4,124,0,0,0,0.0
637,Toti,Gomes,20,Défenseur,4.4,1,228,0,0,0,0.1
638,Ki-Jana,Hoever,20,Défenseur,4.0,2,106,0,0,0,1.7
639,Bastien,Meupiyou Menadjou,20,Défenseur,4.0,0,0,0,0,0,0.0
640,Pedro,Cardoso de Lima,20,Défenseur,4.0,0,0,0,0,0,0.9
641,Alfie,Pond,20,Défenseur,4.0,0,0,0,0,0,1.2
642,Hwang,Hee-chan,20,Milieu,5.9,9,95,1,0,0,0.1
643,André,Trindade da Costa Neto,20,Milieu,5.5,7,179,0,0,0,0.1
644,Jean-Ricner,Bellegarde,20,Milieu,5.4,4,143,0,0,0,0.1
645,Fer,López González,20,Milieu,5.4,2,44,0,0,0,0.0
646,João Victor,Gomes da Silva,20,Milieu,5.5,5,270,0,0,0,0.1
647,Gonçalo Manuel,Ganchinho Guedes,20,Milieu,5.5,0,0,0,0,0,0.0
648,Marshall,Munetsi,20,Milieu,5.5,9,270,0,1,0,0.1
649,Boubacar,Traoré,20,Milieu,5.0,0,0,0,0,0,0.0
650,Tawanda,Chirewa,20,Milieu,4.4,0,0,0,0,0,0.3
651,Tom,Edozie,20,Milieu,4.4,0,0,0,0,0,0.4
652,Enso,González Medina,20,Milieu,4.4,0,0,0,0,0,1.3
653,Joe,Hodge,20,Milieu,4.5,0,0,0,0,0,0.0
654,Jørgen,Strand Larsen,20,Attaquant,6.4,4,158,0,0,0,3.0
655,Fábio,Soares Silva,20,Attaquant,4.9,0,0,0,0,0,0.4
656,Saša,Kalajdžić,20,Attaquant,4.9,1,14,0,0,0,0.1
657,Leon,Chiwome,20,Attaquant,4.5,0,0,0,0,0,0.0
658,Nathan,Fraser,20,Attaquant,4.4,0,0,0,0,0,2.0
663,Jhon,Arias,20,Milieu,5.4,4,135,0,0,0,0.4
682,David,Møller Wolfe,20,Défenseur,4.5,6,131,0,1,0,0.1
695,Jackson,Tchatchoua,20,Défenseur,4.5,2,117,0,0,0,0.0
709,Ladislav,Krejcí,20,Défenseur,4.5,0,0,0,0,0,0.0
720,Tolu,Arokodare,20,Attaquant,5.5,0,0,0,0,0,0.0
